Unique Sample Identifier (YYMMDD-XXXXX),Site Code,Day,Sample Site,Trip (YYYY-WW) - WW= Week #,Year/ Month,Month/Day,Sample Date,Season,Sample Date,Sample Time,Weather (1=sunny 2-cloudy 3=raining),Tidal Conditions 1=high 2=medium (ebb) 3=medium (flood) 4=low,"Current Direction (1=still, 2=L to R, 3=R to L, 4=towards, 5=Away)",Wind Speed,Rainfall 24 hrs (inches),Rainfall 3 days (inches),Rainfall Past Week (inches),Water Temp C,DO%,DO mg/L,Salinity ppt,Turb NTU,Chl RFU,Chl ug/L,MPN,Exceedance,
210112-ABP,ABP,Tuesday,Annie Beck Park,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,12:23 PM,2,2,2,WNW 8,0,0,0,21.995,74.5,5.95,15.48,0.72,0.63,2.53,63,,6 kayakers. Floating vegetation. Brown water.
210112-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,1:19 PM,2,4,3,NW 5,0,0,0,20.89,60.5,5.34,2.05,4.8,1.41,5.64,63,,Brown water; floating vegetation.
210112-HC,HC,Tuesday,Himmarshee Canal,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,12:07 PM,2,2,3,WNW 8,0,0,0,21.74,74.3,6.08,12.65,5.61,0.94,3.75,537,Fail,Very brown water. 3 ducks. Floating vegetation.
210112-LS,LS,Tuesday,Lake Sylvia,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,11:24 AM,2,2,2,NW 3,0,0,0,22.638,89.1,6.53,28.41,0.97,0.23,0.9,98,Fail,Plastic debris. Very clear. Lots of fish.
210112-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,10:08 AM,2,2,3,NW 4,0,0,0,21.43,82.3,6.58,17.17,0.54,0.67,2.67,5,,Bird prints. Lots of fish.
210112-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,11:48 AM,2,2,5,NW 3,0,0,0,,,,,,,,20,,Organic debris.
210112-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,10:45 AM,2,2,3,NW 4,0,0,0,21.43,83.2,6.61,18.49,0.56,0.9,3.61,41,,Boat traffic. Seafoam.
210112-SBR,SBR,Tuesday,Sandbar,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,12:53 PM,2,4,3,WNW 8,0,0,0,23.037,95.6,6.99,27.62,2.44,0.32,1.27,5,,Boat traffic; a little bit of seafoam.
210112-SWP,SWP,Tuesday,Sweeting Park,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,1:41 PM,2,4,3,NW 5,0,0,0,21.795,68.9,6.03,0.54,,4.12,16.47,213,Fail,Muddy brown water. Floating vegetation and styrofoam.
210112-TR,TR,Tuesday,Tarpon River,2021,21-01,12-Jan,21-01-12,Dry,1/12/2021,12:42 PM,2,4,1,WNW 8,0,0,0,,,,,,,,213,Fail,Floating vegetation. One duck.
210119-ABP,ABP,Tuesday,Annie Beck Park,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,11:44 AM,1,3,1,E 11,0,0,0,21.21,68.7,5.64,13.29,0.66,0.66,2.65,41,,Vegetation stagnant on surface
210119-CH,CH,Tuesday,Coontie Hatchee Park,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,11:10 AM,1,3,3,E 11,,,0,19.69,51.2,4.6,0.64,1.25,1.1,4.42,97,Fail,"3 people, boats, floating vegetation, brown tint"
210119-HC,HC,Tuesday,Himmarshee Canal,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,11:21 AM,3,3,3,E 11,,,0,20.04,56.1,5.03,2.29,0.61,0.96,3.83,213,Fail,"Slight sheen, brown, fish jumping, 1 duck"
210119-LS,LS,Tuesday,Lake Sylvia,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,9:57 AM,1,3,3,N 8,,,0,21,85.8,6.7,22.59,1.93,0.18,0.73,31,,"Schools of small fish, floating vegetation, brown tinted water"
210119-MRGE,MRGE,Tuesday,Middle River George English Park,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,10:02 AM,4,3,4,NNE 5,0,0,0,20.85,87.6,6.98,19.85,1.38,0.41,1.62,20,,"Floating leaves, coconuts, plastic debris, water is very calm"
210119-RPLO,RPLO,Tuesday,Royal Palm Drive Las Olas Blvd,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,11:04 AM,4,3,4,E 11,0,0,0,21.21,80.4,6.3,21.19,0.7,0.41,1.62,31,,Sheen farther down past boat (not sampled)
210119-SBHT,SBHT,Tuesday,Sunrise Bay Hugh Taylor Birch Park,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,10:33 AM,3,3,3,N 6,0,0,0,20.72,80.2,6.4,20,0.46,0.47,1.88,5,,"1 dinghy parked close by, murky water, floating coconuts (downstream)"
210119-SBR,SBR,Tuesday,Sandbar,2021,21-01,19-Jan,21-01-19,Dry,1/19/2021,10:23 AM,1,3,2,N 6,,,0,21.45,92.8,7.25,21.24,0.64,0.39,1.57,31,,"Brown tinted water, puffer fish, boats"
